IAS_ID_ISAAC,IASRid,ORDER,,,,,
2,100,990,,,,,
8,8,500990,,,,,
8,9,400990,,,,,
14,1,500900,,,,,
2,6,990,,,,,
1,0,150000,,,,,
2,0,150990,,,,,
4,0,150950,,,,,
15,0,150970,,,,,
11,0,150000,,,,,
7,0,150900,,,,,
19,0,150940,,,,,
6,0,150000,,,,,
14,0,150900,,,,,
3,0,150970,,,,,
17,0,150900,,,,,
16,0,150000,,,,,
12,0,150970,,,,,
13,0,150970,,,,,
2,5,100990,,,,,
14,5,100900,,,,,
3,5,100970,,,,,
17,5,100900,,,,,
5,5,100970,,,,,
10,5,100970,,,,,
16,5,100000,,,,,
12,5,100970,,,,,
13,5,100970,,,,,
9,5,100970,,,,,
18,5,100920,,,,,
1,7,100000,,,,,
2,7,100990,,,,,
4,7,100950,,,,,
15,7,100970,,,,,
11,7,100000,,,,,
7,7,100900,,,,,
19,7,100940,,,,,
6,7,100000,,,,,
3,7,100970,,,,,
17,7,100900,,,,,
16,7,100000,,,,,
12,7,100970,,,,,
13,7,100970,,,,,
9,7,100970,,,,,
18,7,100920,,,,,
